id;code;date;details;status;payment_method;payment_date;payment_amount
1;notwithstanding;2024-04-06T21:01:57;appetizer whoever till;CANCELLED;PAYPAL;2024-04-06T22:15:10;9093.04
2;pupil;2024-04-06T04:01:16;reuse droopy police;ISSUED;PAYPAL;2024-04-06T04:10:11;112.55
3;unlike gator;2024-04-06T20:26:54;enfranchise;ISSUED;PAYPAL;2024-04-06T06:51:22;30370.2
4;eyeliner gently;2024-04-06T13:00:09;cloak;CANCELLED;PAYPAL;2024-04-06T06:45:14;4830.26
5;populist contextualize;2024-04-06T12:23:58;hourly wetly;ISSUED;PAYPAL;2024-04-06T17:11:32;9009.78
6;unfortunately indeed though;2024-04-06T05:05:40;oof impressive;ISSUED;CASH_ON_DELIVERY;2024-04-06T17:24:26;23509.59
7;minus ketch yieldingly;2024-04-06T06:38:25;continually which;PAID;PAYPAL;2024-04-06T12:30:19;24573.18
8;including whoa hastily;2024-04-06T01:22:18;whoever;PAID;CASH_ON_DELIVERY;2024-04-06T18:09:59;18612.73
9;wow boo;2024-04-06T15:47:41;corridor;PAID;CASH_ON_DELIVERY;2024-04-06T23:01:28;5617.92
10;vision;2024-04-06T12:58:58;what birth gosh;ISSUED;CASH_ON_DELIVERY;2024-04-06T19:03:49;20623.81
