id;tracking_code;date;details;invoice_id
1;overconfidently;2024-04-06T07:22:10;dehumanise because;1
2;subdued bah;2024-04-06T08:14:33;where soup;2
3;bitter lipid;2024-04-06T02:14:49;from;3
4;hm yahoo;2024-04-06T13:59:40;whenever drat excepting;4
5;excitedly;2024-04-06T01:54:15;afterwards notwithstanding supposing;5
6;reluctantly;2024-04-06T13:02:14;commonly airfare;6
7;adorable terrific synthesis;2024-04-06T04:33:45;pheromone;7
8;oof precious;2024-04-06T09:54:28;interface;8
9;considering;2024-04-06T00:29:26;ugh knowingly;9
10;yellow excepting;2024-04-06T17:46:01;battleship under spat;10
