id;placed_date;status;code;invoice_id;customer
1;2024-04-06T15:41:53;COMPLETED;ill-informed;10075;rehash rare sweltering
2;2024-04-06T14:21:32;CANCELLED;since failing;3753;meanwhile red queasily
3;2024-04-06T07:09:22;COMPLETED;afore;11738;bleakly inject
4;2024-04-06T08:52:33;CANCELLED;ack healthy;32353;liberalise
5;2024-04-06T16:24:11;CANCELLED;indolent concerned step-aunt;23346;grotesque burden hmph
6;2024-04-06T09:12:12;CANCELLED;whose command;14202;ack
7;2024-04-06T10:29:07;PENDING;hate abnormally excellence;9214;ew yippee
8;2024-04-06T11:10:32;CANCELLED;greedily uh-huh upward;15800;although gracefully hot
9;2024-04-06T15:35:11;COMPLETED;blanket even unless;23606;safe
10;2024-04-06T18:25:40;COMPLETED;ensconce pro;10845;savage wholly
